paddle1 action: 2 | frame: 3672
paddle1 action: 1 | frame: 3680
paddle1 action: 2 | frame: 3688
paddle1 action: 1 | frame: 3696
paddle1 action: 2 | frame: 3704
paddle1 action: 0 | frame: 3712
paddle1 action: 1 | frame: 3720
paddle1 action: 1 | frame: 3728
paddle1 action: 0 | frame: 3736
paddle1 action: 2 | frame: 3744
paddle1 action: 2 | frame: 3752
paddle1 action: 2 | frame: 3760
paddle1 action: 2 | frame: 3768
paddle1 action: 1 | frame: 3776
paddle1 action: 1 | frame: 3784
paddle1 action: 2 | frame: 3792
paddle1 action: 0 | frame: 3800
paddle1 action: 2 | frame: 3808
paddle1 action: 2 | frame: 3816
paddle1 action: 2 | frame: 3824
paddle1 action: 1 | frame: 3832
paddle1 action: 2 | frame: 3840
paddle1 action: 2 | frame: 3848
paddle1 action: 2 | frame: 3856
paddle1 action: 1 | frame: 3864
paddle1 action: 2 | frame: 3872
paddle1 action: 2 | frame: 3880
paddle1 action: 2 | frame: 3888
paddle1 action: 1 | frame: 3896
paddle1 action: 2 | frame: 3904
paddle1 action: 2 | frame: 3912
paddle1 action: 2 | frame: 3920
paddle1 action: 2 | frame: 3928
paddle1 action: 2 | frame: 3936
paddle1 action: 2 | frame: 3944
paddle1 action: 0 | frame: 3952
paddle1 action: 1 | frame: 3960
paddle1 action: 2 | frame: 3968
paddle1 action: 1 | frame: 3976
paddle1 action: 2 | frame: 3984
paddle1 action: 2 | frame: 3992
paddle1 action: 2 | frame: 4000
paddle1 action: 2 | frame: 4008
paddle1 action: 2 | frame: 4016
paddle1 action: 1 | frame: 4024
paddle1 action: 2 | frame: 4032
paddle1 action: 2 | frame: 4040
paddle1 action: 2 | frame: 4048
paddle1 action: 2 | frame: 4056
paddle1 action: 2 | frame: 4064
paddle1 action: 1 | frame: 4072
paddle1 action: 1 | frame: 4080
paddle1 action: 0 | frame: 4088
paddle1 action: 1 | frame: 4096
paddle1 action: 1 | frame: 4104
paddle1 action: 0 | frame: 4112
paddle1 action: 1 | frame: 4120
paddle1 action: 0 | frame: 4128
paddle1 action: 0 | frame: 4136
paddle1 action: 2 | frame: 4144
paddle1 action: 0 | frame: 4152
paddle1 action: 1 | frame: 4160
paddle1 action: 2 | frame: 4168
paddle1 action: 1 | frame: 4176
paddle1 action: 1 | frame: 4184
paddle1 action: 0 | frame: 4192
paddle1 action: 1 | frame: 4200
paddle1 action: 0 | frame: 4208
paddle1 action: 1 | frame: 4216
paddle1 action: 1 | frame: 4224
paddle1 action: 2 | frame: 4232
paddle1 action: 2 | frame: 4240
paddle1 action: 2 | frame: 4248
paddle1 action: 2 | frame: 4256
paddle1 action: 2 | frame: 4264
paddle1 action: 1 | frame: 4272
paddle1 action: 2 | frame: 4280
paddle1 action: 2 | frame: 4288
paddle1 action: 2 | frame: 4296
paddle1 action: 1 | frame: 4304
paddle1 action: 2 | frame: 4312
paddle1 action: 2 | frame: 4320
paddle1 action: 1 | frame: 4328
paddle1 action: 1 | frame: 4336
paddle1 action: 0 | frame: 4344
paddle1 action: 2 | frame: 4352
paddle1 action: 1 | frame: 4360
paddle1 action: 2 | frame: 4368
paddle1 action: 1 | frame: 4376
paddle1 action: 0 | frame: 4384
paddle1 action: 2 | frame: 4392
paddle1 action: 2 | frame: 4400
paddle1 action: 1 | frame: 4408
paddle1 action: 1 | frame: 4416
paddle1 action: 0 | frame: 4424
paddle1 action: 2 | frame: 4432
paddle1 action: 1 | frame: 4440
paddle1 action: 2 | frame: 4448
paddle1 action: 0 | frame: 4456
paddle1 action: 2 | frame: 4464
paddle1 action: 2 | frame: 4472
paddle1 action: 2 | frame: 4480
paddle1 action: 1 | frame: 4488
paddle1 action: 2 | frame: 4496
